      3060 <= x <=       3090 ; y =   897.0000 +    -0.2667 x ; interpolation
      3090 <= x <=       3120 ; y = -1369.0000 +     0.4667 x ; interpolation
      3120 <= x <=       3150 ; y =   399.0000 +    -0.1000 x ; interpolation
      3150 <= x <=       3180 ; y =  1554.0000 +    -0.4667 x ; interpolation
      3180 <= x <=       3210 ; y =   -36.0000 +     0.0333 x ; interpolation
      3210 <= x <=       3240 ; y =   606.0000 +    -0.1667 x ; interpolation
      3240 <= x <=       3270 ; y =  -474.0000 +     0.1667 x ; interpolation
      3270 <= x <=       3300 ; y = -1564.0000 +     0.5000 x ; interpolation
      3300 <= x <=       3330 ; y =    86.0000 +     0.0000 x ; interpolation
      3330 <= x <=       3360 ; y =  1862.0000 +    -0.5333 x ; interpolation
      3360 <= x <=       3390 ; y = -1498.0000 +     0.4667 x ; interpolation
      3390 <= x <=       3420 ; y =  -368.0000 +     0.1333 x ; interpolation
      3420 <= x <=       3450 ; y =   658.0000 +    -0.1667 x ; interpolation
      3450 <= x <=       3480 ; y =  1463.0000 +    -0.4000 x ; interpolation
      3480 <= x <=       3510 ; y =   -45.0000 +     0.0333 x ; interpolation
      3510 <= x <=       3540 ; y =   423.0000 +    -0.1000 x ; interpolation
      3540 <= x <=       3570 ; y =  -167.0000 +     0.0667 x ; interpolation
      3570 <= x <=       3600 ; y =   309.0000 +    -0.0667 x ; interpolation
      3600 <= x <=       3630 ; y =  -411.0000 +     0.1333 x ; interpolation
      3630 <= x <=       3660 ; y =  -774.0000 +     0.2333 x ; interpolation
      3660 <= x <=       3690 ; y =  1056.0000 +    -0.2667 x ; interpolation
      3690 <= x <=       3720 ; y =   318.0000 +    -0.0667 x ; interpolation
      3720 <= x <=       3750 ; y =  -178.0000 +     0.0667 x ; interpolation
      3750 <= x <=       3780 ; y = -1178.0000 +     0.3333 x ; interpolation
      3780 <= x <=       3810 ; y =  1342.0000 +    -0.3333 x ; interpolation
      3810 <= x <=       3840 ; y =   199.0000 +    -0.0333 x ; interpolation
      3840 <= x <=       3870 ; y =   -57.0000 +     0.0333 x ; interpolation
      3870 <= x <=       3900 ; y = -2121.0000 +     0.5667 x ; interpolation
      3900 <= x <=       3930 ; y =  1259.0000 +    -0.3000 x ; interpolation
      3930 <= x <=       3960 ; y =  1783.0000 +    -0.4333 x ; interpolation
      3960 <= x <=       3990 ; y =  -725.0000 +     0.2000 x ; interpolation
      3990 <= x <=       4020 ; y = -2055.0000 +     0.5333 x ; interpolation
      4020 <= x <=       4050 ; y =  2367.0000 +    -0.5667 x ; interpolation
      4050 <= x <=       4080 ; y =   207.0000 +    -0.0333 x ; interpolation
      4080 <= x <=       4110 ; y =  -201.0000 +     0.0667 x ; interpolation
      4110 <= x <=       4140 ; y =   347.0000 +    -0.0667 x ; interpolation
      4140 <= x <=       4170 ; y =  -895.0000 +     0.2333 x ; interpolation
      4170 <= x <=       4200 ; y = -1312.0000 +     0.3333 x ; interpolation
      4200 <= x <=       4230 ; y =  2188.0000 +    -0.5000 x ; interpolation
      4230 <= x <=       4260 ; y =   496.0000 +    -0.1000 x ; interpolation
      4260 <= x <=       4290 ; y = -1776.0000 +     0.4333 x ; interpolation
      4290 <= x <=       4320 ; y =  -632.0000 +     0.1667 x ; interpolation
      4320 <= x <=       4350 ; y =  1240.0000 +    -0.2667 x ; interpolation
      4350 <= x <=       4380 ; y =  1385.0000 +    -0.3000 x ; interpolation
      4380 <= x <=       4410 ; y = -1243.0000 +     0.3000 x ; interpolation
      4410 <= x <=       4440 ; y =  -802.0000 +     0.2000 x ; interpolation
      4440 <= x <=       4470 ; y =  2750.0000 +    -0.6000 x ; interpolation
      4470 <= x <=       4500 ; y = -3210.0000 +     0.7333 x ; interpolation
      4500 <= x <=       4530 ; y =  2940.0000 +    -0.6333 x ; interpolation
      4530 <= x <=       4560 ; y =  -231.0000 +     0.0667 x ; interpolation
      4560 <= x <=       4590 ; y = -2207.0000 +     0.5000 x ; interpolation
      4590 <= x <=       4620 ; y =  2536.0000 +    -0.5333 x ; interpolation
      4620 <= x <=       4650 ; y =   226.0000 +    -0.0333 x ; interpolation
      4650 <= x <=       4680 ; y =   226.0000 +    -0.0333 x ; interpolation
      4680 <= x <=       4710 ; y =   -86.0000 +     0.0333 x ; interpolation
      4710 <= x <=       4740 ; y =   699.0000 +    -0.1333 x ; interpolation
      4740 <= x <=       4770 ; y = -2777.0000 +     0.6000 x ; interpolation
      4770 <= x <=       4800 ; y =  2311.0000 +    -0.4667 x ; interpolation
      4800 <= x <=       4830 ; y =   -89.0000 +     0.0333 x ; interpolation
      4830 <= x <=       4860 ; y = -2665.0000 +     0.5667 x ; interpolation
      4860 <= x <=       4890 ; y =  2843.0000 +    -0.5667 x ; interpolation
      4890 <= x <=       4920 ; y = -2699.0000 +     0.5667 x ; interpolation
      4920 <= x <=       4950 ; y =   581.0000 +    -0.1000 x ; interpolation
      4950 <= x <=       4980 ; y =  2396.0000 +    -0.4667 x ; interpolation
      4980 <= x <=       5010 ; y =    72.0000 +     0.0000 x ; interpolation
      5010 <= x <=       5040 ; y = -2934.0000 +     0.6000 x ; interpolation
      5040 <= x <=       5070 ; y =  2946.0000 +    -0.5667 x ; interpolation
      5070 <= x <=       5100 ; y = -2800.0000 +     0.5667 x ; interpolation
      5100 <= x <=       5130 ; y =  1110.0000 +    -0.2000 x ; interpolation
      5130 <= x <=       5160 ; y =  2307.0000 +    -0.4333 x ; interpolation
      5160 <= x <=       5190 ; y =  -101.0000 +     0.0333 x ; interpolation
      5190 <= x <=       5220 ; y = -3042.0000 +     0.6000 x ; interpolation
      5220 <= x <=       5250 ; y =   612.0000 +    -0.1000 x ; interpolation
      5250 <= x <=       5280 ; y =  2712.0000 +    -0.5000 x ; interpolation
      5280 <= x <=       5310 ; y =  -104.0000 +     0.0333 x ; interpolation
      5310 <= x <=       5340 ; y = -2582.0000 +     0.5000 x ; interpolation
      5340 <= x <=       5370 ; y =  1334.0000 +    -0.2333 x ; interpolation
      5370 <= x <=       5400 ; y =  1692.0000 +    -0.3000 x ; interpolation
      5400 <= x <=       5430 ; y =  -108.0000 +     0.0333 x ; interpolation
      5430 <= x <=       5460 ; y = -2823.0000 +     0.5333 x ; interpolation
      5460 <= x <=       5490 ; y =   -93.0000 +     0.0333 x ; interpolation
      5490 <= x <=       5520 ; y =  3384.0000 +    -0.6000 x ; interpolation
      5520 <= x <=       5550 ; y =  -112.0000 +     0.0333 x ; interpolation
      5550 <= x <=       5580 ; y = -2332.0000 +     0.4333 x ; interpolation
      5580 <= x <=       5610 ; y =  2132.0000 +    -0.3667 x ; interpolation
      5610 <= x <=       5640 ; y = -2543.0000 +     0.4667 x ; interpolation
      5640 <= x <=       5670 ; y =  2909.0000 +    -0.5000 x ; interpolation
      5670 <= x <=       5700 ; y = -2761.0000 +     0.5000 x ; interpolation
      5700 <= x <=       5730 ; y =  1419.0000 +    -0.2333 x ; interpolation
      5730 <= x <=       5760 ; y =  2183.0000 +    -0.3667 x ; interpolation
      5760 <= x <=       5790 ; y =  -697.0000 +     0.1333 x ; interpolation
      5790 <= x <=       5820 ; y = -2241.0000 +     0.4000 x ; interpolation
      5820 <= x <=       5850 ; y =  2609.0000 +    -0.4333 x ; interpolation
      5850 <= x <=       5880 ; y = -1876.0000 +     0.3333 x ; interpolation
      5880 <= x <=       5910 ; y =  -504.0000 +     0.1000 x ; interpolation
      5910 <= x <=       5940 ; y =  3042.0000 +    -0.5000 x ; interpolation
      5940 <= x <=       5970 ; y =  -126.0000 +     0.0333 x ; interpolation
      5970 <= x <=       6000 ; y = -2912.0000 +     0.5000 x ; interpolation
      6000 <= x <=       6030 ; y =   888.0000 +    -0.1333 x ; interpolation
      6030 <= x <=       6060 ; y =  2697.0000 +    -0.4333 x ; interpolation
      6060 <= x <=       6090 ; y = -2353.0000 +     0.4000 x ; interpolation
      6090 <= x <=       6120 ; y =  -526.0000 +     0.1000 x ; interpolation
      6120 <= x <=       6150 ; y =  2738.0000 +    -0.4333 x ; interpolation
      6150 <= x <=       6180 ; y =   278.0000 +    -0.0333 x ; interpolation
      6180 <= x <=       6210 ; y =   278.0000 +    -0.0333 x ; interpolation
      6210 <= x <=       6240 ; y = -3448.0000 +     0.5667 x ; interpolation
      6240 <= x <=       6270 ; y =  1752.0000 +    -0.2667 x ; interpolation
      6270 <= x <=       6300 ; y =  3633.0000 +    -0.5667 x ; interpolation
      6300 <= x <=       6330 ; y = -1827.0000 +     0.3000 x ; interpolation
      6330 <= x <=       6360 ; y =   705.0000 +    -0.1000 x ; interpolation
      6360 <= x <=       6390 ; y =  -779.0000 +     0.1333 x ; interpolation
      6390 <= x <=       6420 ; y = -2696.0000 +     0.4333 x ; interpolation
      6420 <= x <=       6450 ; y =  2868.0000 +    -0.4333 x ; interpolation
      6450 <= x <=       6480 ; y = -2722.0000 +     0.4333 x ; interpolation
      6480 <= x <=       6510 ; y =   734.0000 +    -0.1000 x ; interpolation
      6510 <= x <=       6540 ; y =  2687.0000 +    -0.4000 x ; interpolation
      6540 <= x <=       6570 ; y =  -801.0000 +     0.1333 x ; interpolation
      6570 <= x <=       6600 ; y =   732.0000 +    -0.1000 x ; interpolation
      6600 <= x <=       6630 ; y =   292.0000 +    -0.0333 x ; interpolation
      6630 <= x <=       6660 ; y = -2581.0000 +     0.4000 x ; interpolation
      6660 <= x <=       6690 ; y =   527.0000 +    -0.0667 x ; interpolation
      6690 <= x <=       6720 ; y =  2311.0000 +    -0.3333 x ; interpolation
