         0 <= x <=         30 ; y =    84.0000 +    -0.4667 x ; interpolation
        30 <= x <=         60 ; y =    68.0000 +     0.0667 x ; interpolation
        60 <= x <=         90 ; y =    40.0000 +     0.5333 x ; interpolation
        90 <= x <=        120 ; y =    85.0000 +     0.0333 x ; interpolation
       120 <= x <=        150 ; y =   161.0000 +    -0.6000 x ; interpolation
       150 <= x <=        180 ; y =    61.0000 +     0.0667 x ; interpolation
       180 <= x <=        210 ; y =   -35.0000 +     0.6000 x ; interpolation
       210 <= x <=        240 ; y =   119.0000 +    -0.1333 x ; interpolation
       240 <= x <=        270 ; y =   199.0000 +    -0.4667 x ; interpolation
       270 <= x <=        300 ; y =    82.0000 +    -0.0333 x ; interpolation
       300 <= x <=        330 ; y =  -148.0000 +     0.7333 x ; interpolation
       330 <= x <=        360 ; y =   138.0000 +    -0.1333 x ; interpolation
       360 <= x <=        390 ; y =   282.0000 +    -0.5333 x ; interpolation
       390 <= x <=        420 ; y =    74.0000 +     0.0000 x ; interpolation
       420 <= x <=        450 ; y =  -178.0000 +     0.6000 x ; interpolation
       450 <= x <=        480 ; y =   137.0000 +    -0.1000 x ; interpolation
       480 <= x <=        510 ; y =   345.0000 +    -0.5333 x ; interpolation
       510 <= x <=        540 ; y =    73.0000 +     0.0000 x ; interpolation
       540 <= x <=        570 ; y =  -251.0000 +     0.6000 x ; interpolation
       570 <= x <=        600 ; y =   186.0000 +    -0.1667 x ; interpolation
       600 <= x <=        630 ; y =   346.0000 +    -0.4333 x ; interpolation
       630 <= x <=        660 ; y =    52.0000 +     0.0333 x ; interpolation
       660 <= x <=        690 ; y =  -344.0000 +     0.6333 x ; interpolation
       690 <= x <=        720 ; y =   162.0000 +    -0.1000 x ; interpolation
       720 <= x <=        750 ; y =   546.0000 +    -0.6333 x ; interpolation
       750 <= x <=        780 ; y =    -4.0000 +     0.1000 x ; interpolation
       780 <= x <=        810 ; y =  -316.0000 +     0.5000 x ; interpolation
       810 <= x <=        840 ; y =    89.0000 +     0.0000 x ; interpolation
       840 <= x <=        870 ; y =   537.0000 +    -0.5333 x ; interpolation
       870 <= x <=        900 ; y =    15.0000 +     0.0667 x ; interpolation
       900 <= x <=        930 ; y =  -495.0000 +     0.6333 x ; interpolation
       930 <= x <=        960 ; y =   311.0000 +    -0.2333 x ; interpolation
       960 <= x <=        990 ; y =   471.0000 +    -0.4000 x ; interpolation
       990 <= x <=       1020 ; y =     9.0000 +     0.0667 x ; interpolation
      1020 <= x <=       1050 ; y =  -365.0000 +     0.4333 x ; interpolation
      1050 <= x <=       1080 ; y =    90.0000 +     0.0000 x ; interpolation
      1080 <= x <=       1110 ; y =   738.0000 +    -0.6000 x ; interpolation
      1110 <= x <=       1140 ; y =   -39.0000 +     0.1000 x ; interpolation
      1140 <= x <=       1170 ; y =  -609.0000 +     0.6000 x ; interpolation
      1170 <= x <=       1200 ; y =   210.0000 +    -0.1000 x ; interpolation
      1200 <= x <=       1230 ; y =   690.0000 +    -0.5000 x ; interpolation
      1230 <= x <=       1260 ; y =    34.0000 +     0.0333 x ; interpolation
      1260 <= x <=       1290 ; y =  -470.0000 +     0.4333 x ; interpolation
      1290 <= x <=       1320 ; y =    46.0000 +     0.0333 x ; interpolation
      1320 <= x <=       1350 ; y =   838.0000 +    -0.5667 x ; interpolation
      1350 <= x <=       1380 ; y =  -107.0000 +     0.1333 x ; interpolation
      1380 <= x <=       1410 ; y =  -659.0000 +     0.5333 x ; interpolation
      1410 <= x <=       1440 ; y =   187.0000 +    -0.0667 x ; interpolation
      1440 <= x <=       1470 ; y =   859.0000 +    -0.5333 x ; interpolation
      1470 <= x <=       1500 ; y =   -23.0000 +     0.0667 x ; interpolation
      1500 <= x <=       1530 ; y =  -723.0000 +     0.5333 x ; interpolation
