         0 <= x <=         30 ; y =    83.0000 +    -0.5333 x ; interpolation
        30 <= x <=         60 ; y =    66.0000 +     0.0333 x ; interpolation
        60 <= x <=         90 ; y =    22.0000 +     0.7667 x ; interpolation
        90 <= x <=        120 ; y =   100.0000 +    -0.1000 x ; interpolation
       120 <= x <=        150 ; y =   156.0000 +    -0.5667 x ; interpolation
       150 <= x <=        180 ; y =    76.0000 +    -0.0333 x ; interpolation
       180 <= x <=        210 ; y =   -62.0000 +     0.7333 x ; interpolation
       210 <= x <=        240 ; y =   148.0000 +    -0.2667 x ; interpolation
       240 <= x <=        270 ; y =   188.0000 +    -0.4333 x ; interpolation
       270 <= x <=        300 ; y =    89.0000 +    -0.0667 x ; interpolation
       300 <= x <=        330 ; y =  -191.0000 +     0.8667 x ; interpolation
       330 <= x <=        360 ; y =   139.0000 +    -0.1333 x ; interpolation
       360 <= x <=        390 ; y =   307.0000 +    -0.6000 x ; interpolation
       390 <= x <=        420 ; y =    47.0000 +     0.0667 x ; interpolation
       420 <= x <=        450 ; y =  -149.0000 +     0.5333 x ; interpolation
       450 <= x <=        480 ; y =    91.0000 +     0.0000 x ; interpolation
       480 <= x <=        510 ; y =   411.0000 +    -0.6667 x ; interpolation
       510 <= x <=        540 ; y =    88.0000 +    -0.0333 x ; interpolation
       540 <= x <=        570 ; y =  -380.0000 +     0.8333 x ; interpolation
       570 <= x <=        600 ; y =   266.0000 +    -0.3000 x ; interpolation
       600 <= x <=        630 ; y =   386.0000 +    -0.5000 x ; interpolation
       630 <= x <=        660 ; y =     8.0000 +     0.1000 x ; interpolation
       660 <= x <=        690 ; y =  -410.0000 +     0.7333 x ; interpolation
       690 <= x <=        720 ; y =   188.0000 +    -0.1333 x ; interpolation
       720 <= x <=        750 ; y =   596.0000 +    -0.7000 x ; interpolation
       750 <= x <=        780 ; y =    21.0000 +     0.0667 x ; interpolation
       780 <= x <=        810 ; y =  -291.0000 +     0.4667 x ; interpolation
       810 <= x <=        840 ; y =    33.0000 +     0.0667 x ; interpolation
       840 <= x <=        870 ; y =   593.0000 +    -0.6000 x ; interpolation
       870 <= x <=        900 ; y =   -45.0000 +     0.1333 x ; interpolation
       900 <= x <=        930 ; y =  -525.0000 +     0.6667 x ; interpolation
