      1650 <= x <=       1680 ; y =  -147.0000 +     0.1333 x ; interpolation
      1680 <= x <=       1710 ; y =   861.0000 +    -0.4667 x ; interpolation
      1710 <= x <=       1740 ; y =  -165.0000 +     0.1333 x ; interpolation
      1740 <= x <=       1770 ; y =  -629.0000 +     0.4000 x ; interpolation
      1770 <= x <=       1800 ; y =   551.0000 +    -0.2667 x ; interpolation
      1800 <= x <=       1830 ; y =   551.0000 +    -0.2667 x ; interpolation
      1830 <= x <=       1860 ; y =   124.0000 +    -0.0333 x ; interpolation
      1860 <= x <=       1890 ; y = -1116.0000 +     0.6333 x ; interpolation
      1890 <= x <=       1920 ; y =   774.0000 +    -0.3667 x ; interpolation
      1920 <= x <=       1950 ; y =   838.0000 +    -0.4000 x ; interpolation
      1950 <= x <=       1980 ; y =  -527.0000 +     0.3000 x ; interpolation
      1980 <= x <=       2010 ; y =  -725.0000 +     0.4000 x ; interpolation
      2010 <= x <=       2040 ; y =   280.0000 +    -0.1000 x ; interpolation
      2040 <= x <=       2070 ; y =  1164.0000 +    -0.5333 x ; interpolation
      2070 <= x <=       2100 ; y =  -216.0000 +     0.1333 x ; interpolation
      2100 <= x <=       2130 ; y = -1056.0000 +     0.5333 x ; interpolation
      2130 <= x <=       2160 ; y =   364.0000 +    -0.1333 x ; interpolation
      2160 <= x <=       2190 ; y =  1228.0000 +    -0.5333 x ; interpolation
      2190 <= x <=       2220 ; y =  -159.0000 +     0.1000 x ; interpolation
      2220 <= x <=       2250 ; y =   -11.0000 +     0.0333 x ; interpolation
      2250 <= x <=       2280 ; y =  -836.0000 +     0.4000 x ; interpolation
      2280 <= x <=       2310 ; y =   912.0000 +    -0.3667 x ; interpolation
      2310 <= x <=       2340 ; y =  -166.0000 +     0.1000 x ; interpolation
      2340 <= x <=       2370 ; y =  -868.0000 +     0.4000 x ; interpolation
      2370 <= x <=       2400 ; y =   238.0000 +    -0.0667 x ; interpolation
      2400 <= x <=       2430 ; y =  1278.0000 +    -0.5000 x ; interpolation
      2430 <= x <=       2460 ; y =  -261.0000 +     0.1333 x ; interpolation
      2460 <= x <=       2490 ; y = -1081.0000 +     0.4667 x ; interpolation
      2490 <= x <=       2520 ; y =   496.0000 +    -0.1667 x ; interpolation
      2520 <= x <=       2550 ; y =  1000.0000 +    -0.3667 x ; interpolation
      2550 <= x <=       2580 ; y =  -105.0000 +     0.0667 x ; interpolation
      2580 <= x <=       2610 ; y =  -191.0000 +     0.1000 x ; interpolation
      2610 <= x <=       2640 ; y =  -539.0000 +     0.2333 x ; interpolation
      2640 <= x <=       2670 ; y =  1221.0000 +    -0.4333 x ; interpolation
      2670 <= x <=       2700 ; y =  -203.0000 +     0.1000 x ; interpolation
      2700 <= x <=       2730 ; y = -1193.0000 +     0.4667 x ; interpolation
      2730 <= x <=       2760 ; y =   172.0000 +    -0.0333 x ; interpolation
      2760 <= x <=       2790 ; y =  1644.0000 +    -0.5667 x ; interpolation
      2790 <= x <=       2820 ; y =  -216.0000 +     0.1000 x ; interpolation
      2820 <= x <=       2850 ; y = -1156.0000 +     0.4333 x ; interpolation
      2850 <= x <=       2880 ; y =   554.0000 +    -0.1667 x ; interpolation
      2880 <= x <=       2910 ; y =   938.0000 +    -0.3000 x ; interpolation
      2910 <= x <=       2940 ; y =  -226.0000 +     0.1000 x ; interpolation
      2940 <= x <=       2970 ; y = -1402.0000 +     0.5000 x ; interpolation
      2970 <= x <=       3000 ; y =   875.0000 +    -0.2667 x ; interpolation
      3000 <= x <=       3030 ; y =  1275.0000 +    -0.4000 x ; interpolation
      3030 <= x <=       3060 ; y =  -644.0000 +     0.2333 x ; interpolation
      3060 <= x <=       3090 ; y = -1154.0000 +     0.4000 x ; interpolation
      3090 <= x <=       3120 ; y =   700.0000 +    -0.2000 x ; interpolation
      3120 <= x <=       3150 ; y =  1220.0000 +    -0.3667 x ; interpolation
      3150 <= x <=       3180 ; y =  -565.0000 +     0.2000 x ; interpolation
      3180 <= x <=       3210 ; y = -1095.0000 +     0.3667 x ; interpolation
      3210 <= x <=       3240 ; y =  2115.0000 +    -0.6333 x ; interpolation
      3240 <= x <=       3270 ; y =   -45.0000 +     0.0333 x ; interpolation
      3270 <= x <=       3300 ; y =  -917.0000 +     0.3000 x ; interpolation
      3300 <= x <=       3330 ; y =  -587.0000 +     0.2000 x ; interpolation
      3330 <= x <=       3360 ; y =  1855.0000 +    -0.5333 x ; interpolation
      3360 <= x <=       3390 ; y =   -49.0000 +     0.0333 x ; interpolation
      3390 <= x <=       3420 ; y = -1970.0000 +     0.6000 x ; interpolation
      3420 <= x <=       3450 ; y =   196.0000 +    -0.0333 x ; interpolation
      3450 <= x <=       3480 ; y =  2151.0000 +    -0.6000 x ; interpolation
      3480 <= x <=       3510 ; y =    63.0000 +     0.0000 x ; interpolation
      3510 <= x <=       3540 ; y = -1809.0000 +     0.5333 x ; interpolation
      3540 <= x <=       3570 ; y =   197.0000 +    -0.0333 x ; interpolation
      3570 <= x <=       3600 ; y =  1744.0000 +    -0.4667 x ; interpolation
      3600 <= x <=       3630 ; y =   184.0000 +    -0.0333 x ; interpolation
      3630 <= x <=       3660 ; y = -1752.0000 +     0.5000 x ; interpolation
      3660 <= x <=       3690 ; y =  1054.0000 +    -0.2667 x ; interpolation
      3690 <= x <=       3720 ; y =   931.0000 +    -0.2333 x ; interpolation
      3720 <= x <=       3750 ; y =   187.0000 +    -0.0333 x ; interpolation
      3750 <= x <=       3780 ; y = -2313.0000 +     0.6333 x ; interpolation
      3780 <= x <=       3810 ; y =   711.0000 +    -0.1667 x ; interpolation
      3810 <= x <=       3840 ; y =  1981.0000 +    -0.5000 x ; interpolation
      3840 <= x <=       3870 ; y =   -67.0000 +     0.0333 x ; interpolation
      3870 <= x <=       3900 ; y = -2002.0000 +     0.5333 x ; interpolation
      3900 <= x <=       3930 ; y =   728.0000 +    -0.1667 x ; interpolation
      3930 <= x <=       3960 ; y =  1514.0000 +    -0.3667 x ; interpolation
      3960 <= x <=       3990 ; y =  -466.0000 +     0.1333 x ; interpolation
      3990 <= x <=       4020 ; y = -1796.0000 +     0.4667 x ; interpolation
      4020 <= x <=       4050 ; y =  1152.0000 +    -0.2667 x ; interpolation
      4050 <= x <=       4080 ; y =  1422.0000 +    -0.3333 x ; interpolation
      4080 <= x <=       4110 ; y =   -74.0000 +     0.0333 x ; interpolation
      4110 <= x <=       4140 ; y = -2266.0000 +     0.5667 x ; interpolation
      4140 <= x <=       4170 ; y =   356.0000 +    -0.0667 x ; interpolation
      4170 <= x <=       4200 ; y =  2302.0000 +    -0.5333 x ; interpolation
      4200 <= x <=       4230 ; y =   -78.0000 +     0.0333 x ; interpolation
      4230 <= x <=       4260 ; y = -2334.0000 +     0.5667 x ; interpolation
      4260 <= x <=       4290 ; y =   506.0000 +    -0.1000 x ; interpolation
      4290 <= x <=       4320 ; y =  2222.0000 +    -0.5000 x ; interpolation
      4320 <= x <=       4350 ; y =   350.0000 +    -0.0667 x ; interpolation
      4350 <= x <=       4380 ; y = -2985.0000 +     0.7000 x ; interpolation
      4380 <= x <=       4410 ; y =   811.0000 +    -0.1667 x ; interpolation
      4410 <= x <=       4440 ; y =  1987.0000 +    -0.4333 x ; interpolation
      4440 <= x <=       4470 ; y =   655.0000 +    -0.1333 x ; interpolation
      4470 <= x <=       4500 ; y = -2027.0000 +     0.4667 x ; interpolation
      4500 <= x <=       4530 ; y =  -827.0000 +     0.2000 x ; interpolation
      4530 <= x <=       4560 ; y =  3099.0000 +    -0.6667 x ; interpolation
      4560 <= x <=       4590 ; y =  -397.0000 +     0.1000 x ; interpolation
      4590 <= x <=       4620 ; y = -2080.0000 +     0.4667 x ; interpolation
      4620 <= x <=       4650 ; y =   384.0000 +    -0.0667 x ; interpolation
      4650 <= x <=       4680 ; y =  2244.0000 +    -0.4667 x ; interpolation
      4680 <= x <=       4710 ; y =  -252.0000 +     0.0667 x ; interpolation
      4710 <= x <=       4740 ; y = -2450.0000 +     0.5333 x ; interpolation
      4740 <= x <=       4770 ; y =  1026.0000 +    -0.2000 x ; interpolation
      4770 <= x <=       4800 ; y =  1821.0000 +    -0.3667 x ; interpolation
      4800 <= x <=       4830 ; y = -2179.0000 +     0.4667 x ; interpolation
      4830 <= x <=       4860 ; y =  2168.0000 +    -0.4333 x ; interpolation
      4860 <= x <=       4890 ; y =  -100.0000 +     0.0333 x ; interpolation
      4890 <= x <=       4920 ; y = -2545.0000 +     0.5333 x ; interpolation
      4920 <= x <=       4950 ; y =   243.0000 +    -0.0333 x ; interpolation
      4950 <= x <=       4980 ; y =  2718.0000 +    -0.5333 x ; interpolation
      4980 <= x <=       5010 ; y =  -602.0000 +     0.1333 x ; interpolation
      5010 <= x <=       5040 ; y = -1604.0000 +     0.3333 x ; interpolation
